epsilon2	better_prob	prob_branch	mean_resolved	mean_closed_nn	mean_closed_nnHybrid	mean_closed_1Tree	mean_closed_subgradient	mean_total_time	mean_time_bb	mean_time_to_best	mean_bbnodes_before_best	mean_fixed_edges	mean_total_tree_level	mean_generate_bbnodes	mean_explored_bbnodes	mean_best_level	mean_prob_best	mean_best_value	mean_mandatory_edges	mean_forbidden_edges
0.5	0.1	0.6	100.0	0.0	89.0	0.0	11.0	0.17167447566986083	0.15552418999999995	0.06779409	13.24	1983.42	3.0	34.84	25.79	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.1	0.7	100.0	0.0	89.0	0.0	11.0	0.155368549823761	0.14270140999999997	0.06479607	13.24	1983.42	3.0	34.84	25.79	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.1	0.8	100.0	0.0	89.0	0.0	11.0	0.14644548892974854	0.13486127999999997	0.06213504	13.24	1983.42	3.0	34.84	25.79	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.1	0.9	100.0	0.0	89.0	0.0	11.0	0.1497444748878479	0.13792156	0.06462499000000001	13.23	1983.11	3.0	34.8	25.75	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.2	0.5	100.0	0.0	89.0	0.0	11.0	0.14827614545822143	0.13654163	0.062275790000000004	13.16	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.2	0.6	100.0	0.0	89.0	0.0	11.0	0.14779828548431395	0.1362684	0.06070449	13.16	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.2	0.7	100.0	0.0	89.0	0.0	11.0	0.1460654616355896	0.13429521000000003	0.061975180000000005	13.16	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.2	0.8	100.0	0.0	89.0	0.0	11.0	0.15306713104248046	0.14108527999999995	0.06492302999999999	13.16	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.2	0.9	100.0	0.0	89.0	0.0	11.0	0.1438335633277893	0.13225608	0.06127497999999999	13.15	1973.75	3.0	34.54	25.61	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.3	0.5	100.0	0.0	89.0	0.0	11.0	0.14695706844329834	0.13537826	0.0618632	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
